Entity,Code,Year,Renewable.Source,Terawatt.Hours
Australia,AUS,2017,Hydro,13.535
Australia,AUS,2017,Solar,8.955
Australia,AUS,2017,Wind,13.194
Australia,AUS,2017,Others,3.543
Australia,AUS,2018,Hydro,17.268
Australia,AUS,2018,Solar,12.081
Australia,AUS,2018,Wind,16.266
Australia,AUS,2018,Others,3.539
Austria,AUT,1965,Hydro,16.083
Austria,AUT,1965,Solar,0
Austria,AUT,1965,Wind,0
Austria,AUT,1965,Others,0
Austria,AUT,1966,Hydro,17.331
Austria,AUT,1966,Solar,0
Austria,AUT,1966,Wind,0
Austria,AUT,1966,Others,0
Austria,AUT,1967,Hydro,17.698
Austria,AUT,1967,Solar,0
Austria,AUT,1967,Wind,0
Austria,AUT,1967,Others,0
Austria,AUT,1968,Hydro,18.185
Austria,AUT,1968,Solar,0
Austria,AUT,1968,Wind,0
Austria,AUT,1968,Others,0
Austria,AUT,1969,Hydro,16.718
Austria,AUT,1969,Solar,0
Austria,AUT,1969,Wind,0
Austria,AUT,1969,Others,0
Austria,AUT,1970,Hydro,21.29
Austria,AUT,1970,Solar,0
Austria,AUT,1970,Wind,0
Austria,AUT,1970,Others,0
Austria,AUT,1971,Hydro,16.82
Austria,AUT,1971,Solar,0
Austria,AUT,1971,Wind,0
Austria,AUT,1971,Others,0
Austria,AUT,1972,Hydro,17.288
Austria,AUT,1972,Solar,0
Austria,AUT,1972,Wind,0
Austria,AUT,1972,Others,0
Austria,AUT,1973,Hydro,19.209
Austria,AUT,1973,Solar,0
Austria,AUT,1973,Wind,0
Austria,AUT,1973,Others,0
Austria,AUT,1974,Hydro,22.712
Austria,AUT,1974,Solar,0
Austria,AUT,1974,Wind,0
Austria,AUT,1974,Others,0
Austria,AUT,1975,Hydro,23.795
Austria,AUT,1975,Solar,0
Austria,AUT,1975,Wind,0
Austria,AUT,1975,Others,0
Austria,AUT,1976,Hydro,20.566
Austria,AUT,1976,Solar,0
Austria,AUT,1976,Wind,0
Austria,AUT,1976,Others,0
Austria,AUT,1977,Hydro,24.921
Austria,AUT,1977,Solar,0
Austria,AUT,1977,Wind,0
Austria,AUT,1977,Others,0
Austria,AUT,1978,Hydro,24.941
Austria,AUT,1978,Solar,0
Austria,AUT,1978,Wind,0
Austria,AUT,1978,Others,0
Austria,AUT,1979,Hydro,28.097
Austria,AUT,1979,Solar,0
Austria,AUT,1979,Wind,0
Austria,AUT,1979,Others,0
Austria,AUT,1980,Hydro,29.11
Austria,AUT,1980,Solar,0
Austria,AUT,1980,Wind,0
Austria,AUT,1980,Others,0
Austria,AUT,1981,Hydro,30.847
Austria,AUT,1981,Solar,0
Austria,AUT,1981,Wind,0
Austria,AUT,1981,Others,0
Austria,AUT,1982,Hydro,30.896
Austria,AUT,1982,Solar,0
Austria,AUT,1982,Wind,0
Austria,AUT,1982,Others,0
Austria,AUT,1983,Hydro,30.606
Austria,AUT,1983,Solar,0
Austria,AUT,1983,Wind,0
Austria,AUT,1983,Others,0
Austria,AUT,1984,Hydro,26.85
Austria,AUT,1984,Solar,0
Austria,AUT,1984,Wind,0
Austria,AUT,1984,Others,0
Austria,AUT,1985,Hydro,30.775
Austria,AUT,1985,Solar,0
Austria,AUT,1985,Wind,0
Austria,AUT,1985,Others,0
Austria,AUT,1986,Hydro,30.904
Austria,AUT,1986,Solar,0
Austria,AUT,1986,Wind,0
Austria,AUT,1986,Others,1.288
Austria,AUT,1987,Hydro,35.388
Austria,AUT,1987,Solar,0
Austria,AUT,1987,Wind,0
Austria,AUT,1987,Others,0.906
Austria,AUT,1988,Hydro,35.304
Austria,AUT,1988,Solar,0
Austria,AUT,1988,Wind,0
Austria,AUT,1988,Others,1.047
Austria,AUT,1989,Hydro,35.082
